Date,Open,High,Low,Close,Adj Close,Volume
2021-11-03,28.350000,28.480000,27.480000,27.480000,16.913193,20517700
2021-11-04,27.650000,27.799999,26.540001,26.670000,16.414660,16393400
2021-11-05,26.990000,27.260000,26.580000,26.690001,16.426970,17509000
2021-11-08,26.580000,27.590000,26.559999,27.129999,16.697779,18249300
2021-11-09,27.110001,27.920000,27.110001,27.549999,16.956276,16727500
2021-11-10,27.400000,27.879999,27.120001,27.320000,16.814718,15039700
2021-11-11,27.730000,27.730000,27.190001,27.320000,16.814718,10208400
2021-11-12,27.219999,27.850000,26.920000,27.820000,17.122452,12622800
2021-11-16,28.160000,28.500000,27.580000,28.240000,17.380951,13741500
2021-11-17,28.290001,28.379999,27.490000,27.590000,16.980896,15206200
2021-11-18,27.660000,27.809999,27.030001,27.570000,16.968586,18571600
2021-11-19,27.190001,27.379999,26.760000,27.190001,16.734705,14335200
2021-11-22,27.430000,28.200001,27.320000,27.440001,16.888575,15649900
2021-11-23,27.600000,28.889999,27.549999,28.730000,17.682535,19705200
2021-11-24,28.520000,29.290001,28.400000,29.290001,18.027197,50040000
2021-11-25,29.700001,30.700001,29.500000,30.500000,18.771921,13080500
2021-11-26,29.350000,29.910000,28.730000,29.170000,17.953342,30868900
2021-11-29,30.010000,30.520000,29.410000,30.160000,18.562658,16259300
2021-11-30,30.000000,30.280001,29.559999,30.139999,18.550348,38459400
2021-12-01,30.459999,31.260000,30.320000,30.350000,18.679602,25686900
2021-12-02,27.730000,29.600000,26.900000,29.520000,20.348034,49179200
2021-12-03,29.469999,30.129999,29.260000,30.070000,20.727146,32302000
2021-12-06,30.080000,30.700001,30.080000,30.350000,20.920151,20230300
2021-12-07,30.709999,31.330000,30.480000,31.190001,21.499159,33244600
2021-12-08,31.290001,31.930000,31.080000,31.080000,21.423336,22771400
2021-12-09,30.750000,31.280001,30.400000,31.080000,21.423336,12741700
2021-12-10,31.280001,32.020000,31.280001,31.490000,21.705948,9888400
2021-12-13,31.400000,31.920000,31.040001,31.459999,21.685266,20982700
2021-12-14,31.799999,31.799999,30.930000,31.020000,21.381979,13373800
2021-12-15,30.969999,31.090000,30.450001,30.920000,21.313049,18062800
2021-12-16,31.200001,32.040001,31.120001,31.559999,21.754196,26042200
2021-12-17,31.190001,31.490000,30.570000,30.790001,21.223440,24320600
2021-12-20,29.930000,30.400000,29.440001,30.200001,20.816755,28386300
2021-12-21,30.510000,30.830000,30.280001,30.340000,20.913258,10847300
2021-12-22,30.360001,30.500000,30.000000,30.219999,20.830540,10066300
2021-12-23,30.350000,30.680000,30.180000,30.440001,20.982185,6243500
2021-12-27,30.440001,31.230000,30.240000,31.040001,21.395765,17868100
2021-12-28,31.260000,31.469999,31.000000,31.059999,21.409550,8078000
2021-12-29,31.010000,31.340000,30.750000,30.950001,21.333727,11460950
2021-12-30,30.950001,31.129999,30.549999,30.700001,21.161404,34157000
2022-01-03,30.840000,31.670000,30.760000,31.520000,21.726627,15578500
2022-01-04,31.570000,32.189999,31.280001,31.920000,22.002344,17337100
2022-01-05,32.000000,32.060001,30.559999,30.610001,21.099365,29552100
2022-01-06,30.740000,31.430000,30.459999,30.580000,21.078688,30193600
2022-01-07,30.760000,30.990000,30.530001,30.830000,21.251011,16889100
2022-01-10,30.700001,31.059999,30.389999,30.719999,21.175188,17334600
2022-01-11,30.850000,32.090000,30.650000,31.990000,22.050594,30661100
2022-01-12,32.180000,33.250000,32.150002,33.049999,22.781250,25548000
2022-01-13,32.849998,34.450001,32.830002,33.849998,23.332685,32479700
2022-01-14,34.070000,34.740002,33.619999,34.560001,23.822088,28261000
2022-01-17,34.419998,34.939999,34.270000,34.450001,23.746265,7079200
2022-01-18,34.529999,34.930000,33.810001,34.570000,23.828979,14950100
2022-01-19,34.810001,35.150002,34.250000,34.250000,23.608406,19605900
2022-01-20,34.500000,34.840000,34.020000,34.470001,23.760052,18238900
2022-01-21,34.250000,34.820000,34.189999,34.590000,23.842766,16277600
2022-01-24,34.450001,35.080002,33.369999,34.650002,23.884125,25099100
2022-01-25,34.380001,36.020000,34.119999,35.799999,24.676815,21039200
2022-01-26,36.000000,37.400002,36.000000,36.849998,25.400576,22400800
2022-01-27,37.169998,37.660000,36.560001,36.990002,25.497078,27254700
2022-01-28,36.849998,37.799999,35.470001,35.889999,24.738852,24342500
2022-01-31,36.049999,36.169998,35.029999,35.270000,24.311487,22445000
2022-02-01,35.160000,36.459999,34.730000,36.310001,25.028358,19064200
2022-02-02,36.610001,36.619999,35.400002,35.660000,24.580313,11735200
2022-02-03,35.470001,35.480000,34.680000,35.279999,24.318380,16656900
2022-02-04,35.509998,36.580002,35.130001,35.910000,24.752638,25527800
2022-02-07,35.860001,35.950001,35.330002,35.480000,24.456240,20018000
2022-02-08,35.230000,35.299999,34.419998,34.970001,24.104700,16102100
2022-02-09,35.029999,35.900002,34.730000,35.000000,24.125378,10506700
2022-02-10,35.189999,36.099998,35.049999,35.599998,24.538956,14021700
2022-02-11,35.820000,37.259998,35.580002,37.200001,25.641832,26448100
2022-02-14,37.200001,37.389999,36.000000,36.240002,24.980106,13473300
2022-02-15,36.000000,36.049999,34.939999,35.490002,24.463135,14294900
2022-02-16,35.750000,37.060001,35.750000,36.270000,25.000784,18446000
2022-02-17,36.139999,36.580002,35.790001,36.099998,24.883602,10212000
2022-02-18,35.900002,36.180000,35.360001,35.869999,24.725065,14031600
2022-02-21,35.880001,37.080002,35.880001,36.840000,25.393682,6224000
2022-02-22,37.220001,37.639999,35.799999,36.270000,25.000784,21847400
2022-02-23,36.470001,36.799999,36.040001,36.279999,25.007677,19561500
2022-02-24,37.000000,37.650002,34.939999,35.709999,24.614779,23081700
2022-02-25,35.599998,36.480000,35.209999,36.369999,25.069714,20527100
2022-03-02,37.970001,38.080002,37.150002,37.520000,25.862404,16218600
2022-03-03,37.590000,37.889999,36.709999,37.220001,25.655619,15435300
2022-03-04,37.150002,37.599998,36.290001,36.970001,25.483292,18097200
2022-03-07,37.400002,37.500000,33.759998,34.139999,23.532583,31859200
2022-03-08,34.320000,35.540001,33.540001,34.689999,23.911695,37221100
2022-03-09,34.889999,35.119999,33.930000,34.680000,23.904802,18729100
2022-03-10,36.189999,36.560001,34.799999,35.650002,24.573421,26817700
2022-03-11,35.740002,36.130001,34.599998,34.810001,23.994411,24275700
2022-03-14,34.810001,35.150002,33.730000,34.369999,23.691120,20240500
